Count Gene_Name	
   1 AC022882.1
   1 AC024405.1
   4 AC024405.2
   3 AC027369.1
   1 AC027369.2
   1 AC027369.3
   1 AC027369.4
   1 AC027369.5
   1 AC027369.6
   1 AC036111.1
   1 AC036111.2
   1 AC036111.3
   1 AC084851.1
   1 AC084851.2
   1 AC084851.3
   1 AC084851.4
   1 AC109635.1
   1 AC109635.2
   2 AC109635.3
   1 AC109635.4
   1 AC109635.5
   1 AC109635.6
   1 AC109635.7
   1 AC118273.1
   1 AC118273.2
   2 AC118942.1
   3 AC130364.1
   1 AC130364.2
   1 AC135977.1
   3 AC136759.1
   1 AP000720.1
   1 AP000720.2
   1 AP001803.1
   1 AP001803.3
   1 AP002512.1
   1 AP002512.2
   2 AP002512.3
   1 AP003122.6
   1 AP003400.3
   1 AP003400.6
   1 AP004245.1
   1 AP004833.3
   1 AP005597.1
   1 AP005597.2
   1 AP005597.3
   1 AP005597.4
   1 AP006437.1
   2 AP006587.1
   1 AP006587.2
   1 AP006587.3
   2 AP006587.4
   1 AP006587.5
   1 AP006587.6
   1 CBX3P8
   1 FAM8A2P
  13 FOLH1
   1 GTF2IP11
   2 LINC02750
   1 MIR6128
   2 MTND1P35
   1 OR10AF1P
   2 OR10AG1
   1 OR10AK1P
   2 OR2AH1P
   1 OR4A10P
   1 OR4A11P
   1 OR4A12P
   1 OR4A13P
   2 OR4A15
   1 OR4A16
   1 OR4A17P
   1 OR4A18P
   1 OR4A19P
   1 OR4A1P
   1 OR4A21P
   1 OR4A2P
   1 OR4A3P
   1 OR4A40P
   1 OR4A41P
   1 OR4A42P
   1 OR4A43P
   1 OR4A44P
   1 OR4A45P
   1 OR4A46P
   1 OR4A47
   1 OR4A48P
   1 OR4A49P
   1 OR4A4P
   1 OR4A5
   1 OR4A50P
   1 OR4A6P
   1 OR4A7P
   1 OR4A8
   1 OR4A9P
   1 OR4C10P
   2 OR4C11
   1 OR4C12
   1 OR4C13
   1 OR4C14P
   2 OR4C15
   1 OR4C16
   2 OR4C1P
   1 OR4C2P
   2 OR4C3
   1 OR4C45
   1 OR4C46
   1 OR4C48P
   1 OR4C49P
   1 OR4C4P
   1 OR4C5
   1 OR4C50P
   2 OR4C6
   1 OR4C7P
   1 OR4C9P
   1 OR4P1P
   2 OR4P4
   1 OR4R1P
   1 OR4R2P
   1 OR4R3P
   1 OR4S1
   2 OR4S2
   1 OR4V1P
   1 OR4X1
   1 OR4X2
   1 OR4X7P
   1 OR5AL1
   1 OR5AL2P
   1 OR5AM1P
   1 OR5AP1P
   1 OR5AP2
   3 OR5AQ1P
   1 OR5AR1
   2 OR5AS1
   2 OR5BE1P
   1 OR5BN1P
   1 OR5BN2P
   1 OR5D13
   1 OR5D14
   1 OR5D15P
   1 OR5D16
   1 OR5D17P
   1 OR5D18
   1 OR5D2P
   1 OR5D3P
   1 OR5F1
   1 OR5F2P
   1 OR5I1
   1 OR5J1P
   1 OR5J2
   1 OR5J7P
   1 OR5L1
   1 OR5L2
   2 OR5M1
   1 OR5M10
   1 OR5M11
   1 OR5M12P
   1 OR5M13P
   2 OR5M2P
   2 OR5M3
   1 OR5M4P
   1 OR5M5P
   1 OR5M6P
   1 OR5M7P
   1 OR5M8
   1 OR5M9
   1 OR5R1
   2 OR5T1
   2 OR5T2
   2 OR5T3
   1 OR5W1P
   1 OR5W2
   1 OR7E5P
   3 OR8H1
   3 OR8H2
   1 OR8H3
   1 OR8I1P
   1 OR8I2
   1 OR8I4P
   3 OR8J1
   1 OR8J2
   4 OR8J3
   1 OR8K1
   1 OR8K2P
   3 OR8K3
   1 OR8K4P
   1 OR8K5
   1 OR8L1P
   1 OR8U1
   1 OR8V1P
   4 OR9G1
   1 OR9G3P
   5 OR9G4
   2 OR9M1P
   1 RPL5P29
   1 TRIM48
   2 TRIM49B
   2 TRIM51
   1 TRIM51CP
   1 TRIM51DP
   1 TRIM51FP
   2 TRIM51GP
   2 TRIM51HP
   1 TRIM53CP
   1 TRIM64C
   1 TRIM77BP
   1 TYRL
   1 UBTFL7
   1 UBTFL9
