Contig	Cenhap
HG02280#1#CM086293.1	ch2
HG03239#1#CM088751.1	ch2
HG02818#2#CM091991.1	ch9
HG03486#1#CM091978.1	ch9
HG01255#1#CM086711.1	ch3
HG01106#1#CM087956.1	ch3
HG02717#1#CM088962.1	ch15
HG02055#1#CM092210.1	ch15
HG03098#1#CM092235.1	ch20
HG02622#1#JAHAOO020000013.1	ch20
HG01952#1#CM087978.1	ch5
HG03017#2#CM088932.1	ch5
HG03041#2#JBHIHR010000011.1	ch7
HG00642#2#CM086624.1	ch7
